IMRate,BirthRate,PerCapitaIncome,PoponFarms
68.5,46.4,392,0.4
87.8,45.7,118,0.61
115.8,45.3,44,0.53
106.8,38.6,158,0.53
71.6,37.2,81,0.53
60.2,35,374,0.37
118.7,34,187,0.3
33.7,28.3,993,0.19
27.2,24.7,1723,0.12
62,24.7,287,0.2
24.9,24.4,970,0.19
22.9,22.7,885,0.12
65.7,22.3,200,0.53
21.6,21.7,575,0.14
32.4,21.6,688,0.34
108.7,21.3,48,0.69
38.6,21.2,572,0.49
46.7,20.8,239,0.42
56.5,20.3,244,0.48
44.4,18.9,472,0.25
47.4,18.8,134,0.52
21.7,18.6,633,0.19
55.7,18,295,0.44
27.1,17.6,906,0.24
28.5,17,1045,0.16
41.6,16.7,775,0.1
44.6,15.9,619,0.15
26.1,15.3,901,0.05
18.7,15,910,0.24
49.1,14.8,556,0.22
