Flow,Cond,DOC,Temp
0.16706045,35,1.2,2.5
0.42560639,41,1.7,6.2
0.28241172,35,1,4.6
0.3341209,44,1.1,4.4
0.57277869,44,1.6,6.2
0.19490386,38,1.1,5.9
0.52504714,40,1.6,5.3
0.65630892,44,1.5,3.7
0.27843409,39,1.1,6.2
0.21081438,42,0.9,2.6
0.23070253,42,0.8,5.3
0.16308282,42,0.7,4.1
0.20683675,39,0.9,1
0.12728415,37,0.9,6.4
0.07557497,35,0.6,5.6
0.23865779,41,2.8,4.9
0.0795526,36,1.3,7.2
0.04773156,34,0.7,7.7
0.03182104,35,0.7,7.2
0.03182104,32,0.8,6
0.05966445,36,1.4,9.3
0.07159734,34,1.1,9.2
0.04773156,35,0.8,8.1
0.05568682,27,1.4,11.5
0.0397763,32,1.3,10.6
0.03182104,32,1.2,10.2
0.03182104,38,1.4,14
1.51547696,47,7.3,12.8
0.06761971,38,1.1,10.5
0.05170919,33,1.6,12.8
0.0397763,38,1.1,11.5
0.03182104,37,1,11.3
0.02784341,35,1.4,14
0.02386578,37,1.2,12
0.02784341,38,1.6,10.8
0.03182104,29,1.8,8.6
0.02784341,38,1.8,11.3
1.51547696,48,6.6,11.1
0.10341838,38,2.4,10.9
0.19490386,40,1.6,9.8
0.08353023,34,1.9,11.3
0.05568682,35,1.1,10.9
0.0795526,36,1.2,8.4
0.05966445,36,0.8,7.5
0.1471723,43,1.8,7.6
0.13126178,40,2.1,5.2
0.21876964,44,1.9,6.9
0.13921704,40,1.5,5
0.07159734,42,1.1,2.5
0.05966445,39,0.9,4.2
0.13523941,44,0.9,2.4
